id,x,y,z
101,-1.051462224,0.649839392,-3.804226065
102,-1.039567652,-1.735554258,-3.450673922
103,-1.051462224,-0.649839392,-3.804226065
104,0.000000000,-1.093066116,-3.847753431
105,1.701301617,2.351141009,-2.752763841
106,1.039567652,1.735554258,-3.450673922
107,2.775121910,2.808185779,-0.642488143
108,2.351141009,2.752763841,-1.701301617
109,2.808185779,0.642488143,-2.775121910
110,2.752763841,1.701301617,-2.351141009
111,3.450673922,1.039567652,-1.735554258
112,2.775121910,-2.808185779,0.642488143
113,2.351141009,-2.752763841,1.701301617
114,1.735554258,-3.450673922,1.039567652
115,2.808185779,-0.642488143,2.775121910
116,2.752763841,-1.701301617,2.351141009
117,3.450673922,-1.039567652,1.735554258
118,0.642488143,-2.775121910,2.808185779
119,1.701301617,-2.351141009,2.752763841
120,1.039567652,-1.735554258,3.450673922
121,0.649839392,-3.804226065,1.051462224
122,1.093066116,-3.847753431,0.000000000
123,-0.642488143,-2.775121910,2.808185779
124,0.000000000,-3.402603233,2.102924448
125,-1.093066116,-3.847753431,0.000000000
126,-0.649839392,-3.804226065,1.051462224
127,-1.735554258,-3.450673922,1.039567652
128,0.649839392,-3.804226065,-1.051462224
129,1.735554258,-3.450673922,-1.039567652
130,-1.735554258,-3.450673922,-1.039567652
131,-0.649839392,-3.804226065,-1.051462224
132,0.642488143,-2.775121910,-2.808185779
133,0.000000000,-3.402603233,-2.102924448
134,-0.642488143,-2.775121910,-2.808185779
135,2.351141009,-2.752763841,-1.701301617
136,2.775121910,-2.808185779,-0.642488143
137,1.039567652,-1.735554258,-3.450673922
138,1.701301617,-2.351141009,-2.752763841
139,3.450673922,-1.039567652,-1.735554258
140,2.752763841,-1.701301617,-2.351141009
141,2.808185779,-0.642488143,-2.775121910
142,3.402603233,-2.102924448,0.000000000
143,3.847753431,0.000000000,-1.093066116
144,3.804226065,-1.051462224,-0.649839392
145,3.804226065,-1.051462224,0.649839392
146,3.847753431,0.000000000,1.093066116
147,1.051462224,-0.649839392,3.804226065
148,2.102924448,0.000000000,3.402603233
149,1.051462224,0.649839392,3.804226065
150,-2.351141009,-2.752763841,1.701301617
151,-1.701301617,-2.351141009,2.752763841
152,-2.752763841,-1.701301617,2.351141009
153,-1.701301617,-2.351141009,-2.752763841
154,-2.351141009,-2.752763841,-1.701301617
155,-2.752763841,-1.701301617,-2.351141009
156,2.102924448,0.000000000,-3.402603233
157,1.051462224,-0.649839392,-3.804226065
158,1.051462224,0.649839392,-3.804226065
159,3.804226065,1.051462224,0.649839392
160,3.804226065,1.051462224,-0.649839392
161,3.402603233,2.102924448,0.000000000
